font,ma,pinyin
二,Ae,èr -> e
⺀,Ae,
,Ae,
,Ae,èr -> e
甫,Af,Fǔ -> f
干,Ag,Gān -> g
用,Ai,yòng = iòng -> i
甲,Aj,Jiā -> j
,Ak,Kuǎ -> k
,Ak,
木,Am,Mù -> m
朩,Am,
匕,Bb,Bi -> b
,Bb,
马,Bm,Mǎ -> m
舌,Bs,SHé -> s
囗,Bw,wéi = w
,Bx,Xīn -> x
穴,Bx,Xuè -> x
丁,Cd,Dīng -> d
乂,Ci,yì = i
,Ci,
,Ci,yán = ián -> i
咼,Ck,Kuǎi -> k ㊟古音
,Ck,
來,Cl,Lái -> l
馬,Cm,Mǎ -> m
,Cm,
示,Cs,SHì -> s
,Cs,
下,Cx,Xià -> x
丅,Cx,
自,Cz,Zì -> z
癶,Db,Bō -> b
白,Db,Bái -> b
艹,Dc,Cǎo -> c
,Dc,
,Dc,
,Dc,
高,Dg,Gāo -> g
,Dg,
,Dg,
,Dg,
,Dg,
又,Di,yòu = iòu -> i
,Di,
,Di,
见,Dj,Jiàn -> j
,Dl,Luó -> l
厶,Dm,Mǒu -> m
廾,Dn,Niàn -> n ㊟生僻音
卅,Ds,Sà -> s
卌,Ds,
丑,Ec,CHǒu -> c
鬥,Ed,Dòu -> d
儿,Ee,ér -> e
,Ee,
,Ee,
也,Ei,yě = iě -> i
,Ei,yà = ià -> i ㊟取亞聲
,Ei,
,Ei,
㔾,Ej,Jié -> j
,Ej,
卩,Ej,
,Ek,Kuāng -> k ㊟取框音
,Ek,
里,El,Lǐ -> l
乜,Em,Miē -> m
門,Em,Mén -> m
,Em,Mù -> m ㊟木無枝也故取木音
且,Eq,Qiě -> q
,Eq,
,Er,rén -> r
文,Ew,wén -> w
贝,Fb,Bèi -> b
巛,Fc,CHuān -> c
巜,Fc,
川,Fc,CHuān -> c
非,Ff,Fēi -> f
一,Fi,yī = ī
九,Fj,Jiǔ -> j
,Fs,SHǒu -> s
车,Gc,CHè -> c
禾,Gh,Hé -> h
廴,Gi,yín = ín -> i
見,Gj,Jiàn -> j
隶,Gl,Lì -> l
毛,Gm,Máo -> m
皮,Gp,Pí -> p
七,Gq,Qī -> q
,Gq,
尚,Gs,SHàng -> s
,Gs,
竹,Gz,ZHú -> z
,Gz,
,Gz,
寸,Hc,Cùn -> c
电,Hd,Diàn -> d
骨,Hg,Gǔ -> g
夭,Hi,yāo = iāo -> i
,Hi,yì -> ì
耂,Hl,Lǎo -> l
鹿,Hl,Lù -> l
,Hl,
欠,Hq,Qiān -> q
士,Hs,SHēng -> s
,Hs,SHēng -> s
土,Ht,Tǔ -> t
,Hv,Ø -> v ㊟無讀音或生僻部首
頁,Hx,xiè -> x ㊟取古音
走,Hz,Zǒu -> z
勹,Ib,Bāo -> b
,Ib,
,Ib,
虫,Ic,Chóng -> c
丶,Id,Diǎn -> d ㊟點
乀,Id,
方,If,Fāng -> f
艮,Ig,Gěn -> g
,Ig,
臼,Ij,Jìù -> j
,Ij,
宀,Im,Miǎn -> m
气,Iq,Qì -> q
入,Ir,rù -> r
申,Is,SHēn -> s
,Iw,wéi -> w ㊟取爲音w
,Ix,Xiǎo -> x
,Ix,
小,Ix,Xiǎo -> x
,Ix,
⺌,Ix,
屮,Jc,Cǎo -> c
臣,Jc,CHén -> c
刀,Jd,Dāo -> d
丱,Jg,Guān -> g
弓,Jg,Gōng -> g
幺,Ji,yāo = iāo -> i
,Ji,yí = í
,Ji,
丩,Jj,Jiū -> j
,Jj,
卯,Jm,Mǎo -> m
,Jm,Mǎo -> m
千,Jq,Qiān -> q
,Jq,
日,Jr,rì -> r
,Jr,
,Jr,
山,Js,SHān -> s
凵,Jv,Ø -> v ㊟無讀音或生僻部首
曰,Jv,yuē = ǖe -> v
,Jv,Ø -> v ㊟無讀音或生僻部首
,Jv,Ø -> v ㊟無讀音或生僻部首
,Jv,
,Jv,
,Jv,
辛,Jx,Xīn -> x
早,Jz,Zǎo -> z
长,Kc,CHáng -> c
而,Ke,ér -> e
戈,Kg,Gē -> g
弋,Ki,yì = i
〇,Kl,Líng -> l
面,Km,Miàn -> m
手,Ks,SHǒu -> s
,Ks,
豕,Ks,SHǐ -> s
,Ks,
口,Kv,Kǒu -> v ㊟特例
戊,Kw,wù -> w
,Kw,wǔ -> w
习,Kx,Xí -> x
之,Kz,ZHī -> z
丷,Lb,Bā -> b
,Lb,
疒,Lb,Bìng -> b
