font,ma,pinyin
,bi,
卜,bbu,Bǔ
,bbu,Bǔ
,bo,Ø -> o ㊟無讀音或生僻部首
,bo,Ø -> o ㊟無讀音或生僻部首
虎,bhu,Hǔ
虍,bhu,
,bhu,
鹵,blu,Lǔ
灬,bbi,Biāo -> Bi
馬,bma,Mǎ
,bma,
魚,be,yú = ü -> e
亦,bi,yì = i
爪,bsa,ZHuǎ -> Sa
瓜,bga,Guā -> Ga
未,bo,wèi = uèi -> o
末,bmo,Mò
示,bka,SHì -> Ka
,bka,
乙,ci,yǐ = i
亅,ci,
,ci,
,ci,
,ci,
,ci,
,ci,
,ci,
,ci,
乚,ci,yí = i
,ci,
,ci,
,ci,
,ci,
,ci,
飛,cfo,Fēi -> Fo
,co,Ø -> o ㊟無讀音或生僻部首
世,cka,SHì -> Ka
又,cu,yòu = iòu -> u
女,cne,Nǚ -> Ne
马,cma,Mǎ
禾,che,Hé
生,cke,SHēng -> Ke
來,cle,Lái -> Le
,cko,SHuǐ = SHuěi -> Ko
口,dke,Kǒu -> Ke
〇,dli,Líng -> Li
凵,do,Ø -> o ㊟無讀音或生僻部首
屮,do,Ø -> o ㊟無讀音或生僻部首
,do,Ø -> o ㊟無讀音或生僻部首
彑,dji,Jì
,dji,Jì
母,dme,Mǔ -> Me ㊟聲母在右手時韻碼取e
,do,Ø -> o ㊟無讀音或生僻部首
言,de,yán = ián -> e
金,djo,Jīn -> Jo
己,dji,Jǐ
已,di,yǐ = i
长,dre,CHáng -> Re
宀,dme,Miǎn -> Me ㊟聲母在右手時韻碼取e
廴,do,yín = ín -> o
皮,dpi,Pí
,fki,
,ffe,
一,fi,yī = ī
匚,ffe,Fāng -> Fe
丂,fki,Kào -> Ki
牙,fa,yá = iá -> a
,fo,Ø -> o ㊟無讀音或生僻部首
,fo,Ø -> o ㊟無讀音或生僻部首
,fo,Ø -> o ㊟無讀音或生僻部首
,fo,
,fo,
丿,fpe,Piě -> Pe
乃,fne,Nǎi -> Ne
手,fke,SHǒu -> Ke
,fke,
甲,fja,Jiā -> Ja
电,fdi,Diàn -> Di ㊟聲母在左手時韻碼取i
鱼,fe,yú = ǘ -> e
而,fo,ér -> o
面,fme,Miàn -> Me ㊟聲母在右手時韻碼取e
,go,
目,gme,Mù ㊟聲母在右手時韻碼取e
皿,gmo,Mǐn -> Mo
罒,go,wǎng = uáng -> o
,go,Ø -> o ㊟無讀音或生僻部首
見,gje,Jiàn -> Je ㊟聲母在右手時韻碼取e
貝,gbo,Bèi -> Bo
頁,ge,yè = iè -> e
厂,ga,ān -> a ㊟古音
丆,ga,ān -> a ㊟古音
广,ggo,Guǎng -> Go
疒,gne,Nè
鹿,glu,Lù
,glu,
麻,gma,Má
儿,go,ér -> o
,go,
九,gju,Jiǔ = Jiǒu -> Ju
牛,gnu,Niú = Nióu -> Nu
,gnu,
豕,gka,SHi -> Ka
,gka,
夭,gi,yāo = iāo -> i
,gke,SHǒu -> Ke
革,gge,Gé
艮,hge,Gěn -> Ge
,hge,Gěn -> Ge
冂,ho,Ø -> o ㊟無讀音或生僻部首
,ho,
,ho,
勹,ho,Ø -> o ㊟無讀音或生僻部首
,ho,
,ho,
习,hxi,Xí
贝,hbo,Bèi -> Bo
页,he,yè = ie -> e
冊,hce,Cè
,hce,
田,hti,Tián -> Ti ㊟聲母在左手時韻碼取i
止,hsi,ZHǐ -> Si
,hsi,
走,hze,Zǒu -> Ze
齒,hri,CHǐ -> Ri
亥,hhe,Hài -> He
其,hqi,Qí
自,hzi,Zì
辰,hre,CHén -> Re
日,ji,rì -> i ㊟ri視為零聲母
曰,je,yuē = ǖe -> e
,ji,
,ji,
早,jzi,Zǎo -> Zi
臣,jre,CHén -> Re
,ji,yí = í
,ji,
甶,jfu,Fú
,jfu,
鬼,jgo,Guǐ -> Go
,jgo,
门,jme,Mén -> Me
心,jxo,Xīn -> Xo
,jxo,Xīn -> Xo
上,jke,SHàng -> Ke
,jke,
丄,jke,
寸,jci,Cùn -> Ci
,jo,Ø -> o ㊟無讀音或生僻部首
工,jgi,Gōng -> Gi
瓦,ja,wǎ = uǎ -> a
丰,jfe,Fēng -> Fe
刀,jdi,Dāo -> Di
夕,jxi,Xī
矢,jka,SHǐ -> Ka
舟,jse,ZHōu -> Se
巴,jba,Bā
巳,jsi,Sì
,jsi,Sì
川,jri,CHuān -> Ri
巛,jri,CHuān -> Ri
巜,jri,
,jo,Ø -> o ㊟無讀音或生僻部首
咼,jga,Guǎ -> Ga
,jga,
骨,jgu,Gǔ
,kqi,
三,ksa,Sān -> Sa
彡,kka,SHān -> Ka
,kka,
彳,kri,CHì -> Ri
,ksi,Sī
,ksi,
,ko,Ø -> o ㊟無讀音或生僻部首
弋,ki,yì = i
戈,kge,Gē
戊,ku,wù = u
白,kbe,Bái -> Be
臼,kju,Jìù = Jiòu -> Ju
,kju,
下,kxa,Xià -> Xa
丁,kdi,Dīng -> Di
丅,kdi,
且,kqe,Qiě -> Qe
,ko,Ø -> o ㊟無讀音或生僻部首
入,ke,rù -> e ㊟ru視為零聲母
八,kba,Bā
丬,kqo,Qiáng -> Qo
囗,ko,wéi = uéi -> o
之,ksi,ZHī -> Si
弓,kgi,Gōng -> Gi
千,kqi,Qiān -> Qi
古,kgu,Gǔ
里,kli,Lǐ
甫,kfu,Fǔ
辛,kxo,Xīn -> Xo
孑,lzi,
,lbi,
,lsi,
丨,lgi,Gǔn = Guěn -> Gi
〢,lo,Ø -> o ㊟無讀音或生僻部首
〣,lo,Ø -> o ㊟無讀音或生僻部首
非,lfo,Fēi -> Fo
小,lxi,Xiǎo -> Xi
,lxi,
⺌,lxi,
,lxi,Xiǎo -> Xi
,lxi,Xiǎo -> Xi
穴,lxe,Xuè = Xüè -> Xe
亠,lte,Tóu = Te
亡,lo,wáng = uáng -> o
,llo,Luò -> Lo
,lo,Ø -> o ㊟無讀音或生僻部首
,lo,
,lo,
高,lgi,Gāo -> Gi
,lgi,
方,lfe,Fāng -> Fe
了,lle,Le
子,lzi,Zǐ
予,le,yǔ = ǚ -> e
干,lga,Gān -> Ga
匕,lbi,Bi
兀,lu,wù = ū
正,lse,ZHeng -> Se
欠,lqi,Qiān -> Qi ㊟聲母在左手時韻碼取i
,lka,SHi -> Ka
曲,lqe,Qǔ = Qǚ -> Qe
向,lxo,Xiàng -> Xo
,lxo,Ø -> o ㊟無讀音或生僻部首
糸,lsi,Sī
幺,li,yāo = iāo -> i
辶,lro,CHuò -> Ro
⻍,lro,
長,lre,CHáng -> Re
镸,lre,CHáng -> Re
髟,lbi,Biāo -> Bi
艹,mci,Cǎo -> Ci
廾,mci,Cǎo -> Ci
,mci,
,mci,
,mci,
卅,msa,Sà
卌,mxi,Xì
,mo,Ø -> o ㊟無讀音或生僻部首
,mzo,Zuǒ -> Zo
不,mbu,Bù
耳,mo,ěr -> o
冖,mo,Ø -> o ㊟無讀音或生僻部首
,mo,
,mo,Ø -> o ㊟無讀音或生僻部首
七,mqi,Qī
,mqi,
乜,mme,Miē -> Me
也,me,yě = iě -> e
,mo,Ø -> o ㊟無讀音或生僻部首
,mo,
丑,mre,CHǒu -> Re
,mu,u
,mdo,Duī = Duēi -> Do
丶,ndi,Diǎn -> Di
乀,ndi,
月,ne,yuè = üè -> e
,ne,
,no,Ø -> o ㊟無讀音或生僻部首
亍,nru,CHù -> Ru
缶,nfe,Fǒu -> Fe
壬,no,rén -> o ㊟ren視為零聲母
足,nzu,Zú
厶,nsi,Sī
大,pda,Dà
夫,pfu,Fū
,pdi,Dí
雨,pe,yǔ = ǚ -> e
犬,pqi,Quǎn -> Qi
,pqi,Quǎn -> Qi
豸,psi,ZHì -> Si
几,qji,Jǐ
殳,qku,SHǔ -> Ku
風,qfe,Fēng -> Fe
虫,qho,Huǐ = Huěi -> Ho ㊟古音同虺
卯,qmi,Mǎo -> Mi
,qmi,Mǎo -> Mi
,qo,Ø -> o ㊟無讀音或生僻部首
,qo,
,qo,
,qo,
丱,qgi,Guàn -> Gi
丩,qo,Ø -> o ㊟無讀音或生僻部首
,qo,Ø -> o ㊟無讀音或生僻部首
,rji,
王,ro,wáng = uáng -> o
毛,rmi,Máo -> Mi
丌,rji,Jì
文,ri,wén = uén -> i
立,rli,Lì
石,rka,SHí -> Ka
㔾,rje,Jié -> Je
,rje,
卩,rje,
身,rke,SHēn -> Ke
黑,rho,Hēi -> Ho
車,rre,CHē -> Re
,rre,
,rre,
烏,ru,wū = ū
,ru,
鳥,rni,Niǎo -> Ni
,rni,
門,rme,Mén -> Me
鬥,rde,Dòu -> De
,ska,
木,sme,Mù -> Me ㊟聲母在右手時韻碼取e
朩,sme,
二,so,èr -> o
⺀,so,èr -> o
,so,èr -> o
,so,èr -> o
彐,sji,Jì
,sji,
肀,sji,yù = ǜ -> e
隶,sli,Lì
尸,ska,SHī -> Ka
,ska,
户,shu,Hù
戸,shu,
片,spe,Piàn -> Pe ㊟聲母在右手時韻碼取e
爿,spa,Pán -> Pa
尤,su,yóu = ióu -> u
尢,so,wáng = uáng -> o
用,si,yòng = iòng -> i
至,ssi,ZHì -> Si
舌,ske,SHé -> Ke
,so,wéi = uéi -> o
十,tka,SHi -> Ka
巾,tjo,Jīn -> Jo
由,tu,yóu = ióu -> u
火,tho,Huǒ -> Ho
,ti,yī = i
,to,Ø -> o ㊟無讀音或生僻部首
,to,
,to,Ø -> o ㊟無讀音或生僻部首
尚,tke,SHàng -> Ke
,to,Ø -> o ㊟無讀音或生僻部首
攵,tpe,Pū -> Pe ㊟聲母在右手時韻碼取e
夊,tpe,Pū -> Pe ㊟聲母在右手時韻碼取e
土,vdu,Dù ㊟生僻音 同杜
士,vke,SHēng -> Ke ㊟歸併 同龶
,vke,SHēng -> ke
耂,vo,Ø -> o ㊟無讀音或生僻部首
,vsu,ZHú -> Su
,vo,Ø -> o ㊟無讀音或生僻部首
乂,vi,yì = i
,vi,
,vo,Ø -> o ㊟無讀音或生僻部首
,vo,Ø -> o ㊟無讀音或生僻部首
癶,vo,bō
,vi,yì = ì
斤,vjo,Jīn -> Jo
戶,vhu,Hù
见,vje,Jiàn -> Je ㊟聲母在右手時韻碼取e
山,vka,SHān -> Ka
米,vmi,Mǐ
业,ve,yè = ie -> e
,ve,yán = ián -> e
车,vre,CHē -> Re
氺,wko,
人,wo,rén -> o ㊟ren視為零聲母
合,whe,Hé
,wo,Ø -> o ㊟無讀音或生僻部首
,wo,Ø -> o ㊟無讀音或生僻部首
僉,wqi,Qiān -> Qi ㊟聲母在左手時韻碼取i
食,wka,SHí -> Ka
,wo,rén -> o
